Name:HOKKAIDO Area:83454 Population:5679000
Name:AOMORI Area:9235 Population:1474000
Name:IWATE Area:15279 Population:1413000
Name:MIYAGI Area:6862 Population:2371000
Name:AKITA Area:11434 Population:1184000
Name:YAMAGATA Area:7394 Population:1241000
Name:HUKUSHIMA Area:13783 Population:2125000
Name:IBARAKI Area:6096 Population:2992000
Name:TOCHIGI Area:6408 Population:2010000
Name:GUNMA Area:6363 Population:2031000
Name:SAITAMA Area:3767 Population:6978000
Name:CHIBA Area:4996 Population:5968000
Name:TOKYO Area:2102 Population:12138000
Name:KANAGAWA Area:2415 Population:8570000
Name:NIIGATA Area:10939 Population:2473000
Name:TOYAMA Area:2802 Population:1121000
Name:ISHIKAWA Area:4185 Population:1182000
Name:FUKUI Area:4189 Population:830000
Name:YAMANASHI Area:4201 Population:890000
Name:NAGANO Area:12598 Population:2223000
Name:GIFU Area:10209 Population:2111000
Name:SHIZUOKA Area:7329 Population:3781000
Name:AICHI Area:5118 Population:7087000
Name:MIE Area:5761 Population:1861000
Name:SHIGA Area:3855 Population:1353000
Name:KYOTO Area:4613 Population:2646000
Name:OSAKA Area:1893 Population:8818000
Name:HYOGO Area:8392 Population:5571000
Name:NARA Area:3691 Population:1442000
Name:WAKAYAMA Area:4726 Population:1066000
Name:TOTTORI Area:3507 Population:613000
Name:SHIMANE Area:6707 Population:761000
Name:OKAYAMA Area:7009 Population:1953000
Name:HIROSHIMA Area:8477 Population:2879000
Name:YAMAGUCHI Area:6111 Population:1524000
Name:TOKUSHIMA Area:4145 Population:822000
Name:KAGAWA Area:1862 Population:1022000
Name:EHIME Area:5676 Population:1491000
Name:KOCHI Area:7105 Population:813000
Name:FUKUOKA Area:4840 Population:5032000
Name:SAGA Area:2439 Population:876000
Name:NAGASAKI Area:4093 Population:1513000
Name:KUMAMOTO Area:6908 Population:1860000
Name:OITA Area:5804 Population:1221000
Name:MIYAZAKI Area:6685 Population:1169000
Name:KAGOSHIMA Area:9132 Population:1783000
Name:OKINAWA Area:2272 Population:1329000
